Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM
85,Belmont,13.884038601302066,113.9,100.0,72.8,10,0.91,1.6217548251627583,0.6115647173057759,7.338776607669311,8.392672448506762
86,Utah Valley,14.623310216525653,108.2,93.6,73.3,9,-1.3,1.9904137770657067,0.502875835167142,6.034510022005703,8.232056032352984
87,Santa Clara,10.946726579676522,112.5,101.5,73.0,10,5.23,0.7145908224595652,0.8238265534794805,9.885918641753767,8.104761122512746
88,Nevada,9.75567729680229,111.9,102.1,69.4,11,6.05,0.46320966210028625,0.8634385937179501,10.361263124615402,7.958241569191339
89,UC San Diego,12.436207270441187,113.0,100.6,72.9,9,3.02,1.1770259088051485,0.7286074690992783,8.74328962919134,7.796220599732894
90,Memphis,8.564950105154338,107.3,98.7,71.4,9,6.94,0.20311876314429222,0.8962520690512621,10.755024828615145,7.680295245045979
91,Penn St.,5.614708183236715,113.9,108.3,71.0,11,9.23,-0.4519114770954107,0.8650293660989191,10.38035239318703,7.369964709044341
92,DePaul,4.278498999740847,104.2,99.9,70.4,11,10.65,-0.7964376250323941,0.8091157636937258,9.70938916432471,7.265713266734776
93,South Florida,12.977138432556785,111.2,98.2,76.6,10,-1.27,1.780892304069598,0.5653562258531635,6.784274710237962,7.218384918930341
94,Illinois St.,11.94784310613818,112.1,100.1,69.6,10,0.98,1.3709803882672724,0.6802288134803874,8.162745761764649,7.018648148248137
95,Georgetown,3.640852909180097,108.3,104.7,70.1,10,10.4,-0.8448933863524879,0.7999733707116695,9.599680448540035,6.951399341144162
96,Wichita St.,12.060659498982346,109.7,97.6,68.3,10,0.24,1.4775824373727933,0.6517864587481323,7.821437504977588,6.872831664494401
97,Minnesota,5.629009475983835,106.7,101.1,66.4,11,8.08,-0.3063738155020206,0.8841521449207259,10.609825739048711,6.832377918741854
98,San Francisco,8.651230224993085,108.7,100.1,68.9,10,5.08,0.4464037781241357,0.8657991582893255,10.389589899471906,6.831496838632139
99,George Washington,10.222711324478354,115.4,105.2,73.4,12,2.42,0.9753389155597942,0.7737473845630499,9.284968614756599,6.818998071757831
100,Cincinnati,5.131888746318637,97.9,92.8,73.2,10,7.98,-0.3560139067101704,0.8779097542206143,10.534917050647373,6.593039805976925
101,Maryland,0.8087779230311156,106.7,105.9,71.4,11,19.67,-2.3576527596211108,0.39432136608316004,4.731856392997921,6.481890620931303
102,UNC Wilmington,8.283319618911193,113.5,105.2,65.8,10,4.19,0.5116649523638991,0.8564364172670413,10.277237007204496,6.20867720807171
103,Liberty,3.546338299359107,108.9,105.4,68.0,7,7.86,-0.5392077125801117,0.8523245907558148,10.227895089069778,6.107282575824145
104,Richmond,11.810069183196248,112.0,100.2,72.7,9,-1.36,1.646258647899531,0.6045570763972075,7.2546849167664895,5.932089834759176
105,Utah,4.432733840382738,111.6,107.1,71.9,11,7.2,-0.34590826995215773,0.8792036065928691,10.550443279114429,5.787503404846866
106,Pittsburgh,1.1763501039155386,107.4,106.3,66.6,11,11.88,-1.3379562370105578,0.6887865715521925,8.26543885862631,5.768530143490105
107,Marquette,0.21445661348219858,103.8,103.6,73.2,11,20.99,-2.596942923314725,0.32820132082513276,3.938415849901593,5.691793044996718
108,East Tennessee St.,11.187233607166675,111.2,100.0,71.1,9,-0.68,1.4834042008958344,0.6501992070619366,7.802390484743238,5.676542098071124
109,Sam Houston St.,13.012374718385445,113.3,100.3,74.6,7,-3.87,2.1102968397981807,0.4669591685468426,5.603510022562111,5.506485028150475
110,UAB,3.5681704212527876,107.0,103.4,73.0,10,6.79,-0.40272869734340155,0.8717728462963684,10.46127415555642,5.215401295025266
111,UC Irvine,6.114565183391207,98.3,92.1,71.7,9,4.39,0.2155706479239009,0.8948544240216096,10.738253088259317,5.1763455079392555
112,Grand Canyon,6.013036683145501,104.4,98.4,69.5,10,4.12,0.23662958539318757,0.8924528663610249,10.709434396332298,5.034093860274988
113,Florida St.,2.6618213821047334,106.5,103.8,77.3,10,7.31,-0.5810223272369083,0.8458965847587244,10.150759017104694,5.003298493644967
114,St. Thomas,8.6772324018105,109.5,100.8,71.3,11,0.2,1.0596540502263125,0.7555463001671907,9.06655560200629,4.847013581672793
