date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2021-11-09,American,Marist,1,225,27,59,0.458,5,19,0.263,18,26,0.692,7,29,36,17,5,4,14,12,77,78.35,98.28
2021-11-09,Dartmouth,Boston College,-1,200,21,56,0.375,6,29,0.207,9,13,0.692,8,22,30,6,5,3,6,18,57,60.17,94.72
2021-11-09,Boston College,Dartmouth,1,200,25,51,0.49,7,18,0.389,16,25,0.64,8,27,35,9,2,0,12,16,73,66.88,109.16
2021-11-09,St. Thomas,Chicago St.,-1,200,26,60,0.433,13,32,0.406,7,9,0.778,4,22,26,17,1,0,7,15,72,67.28,107.02
2021-11-09,Chicago St.,St. Thomas,1,200,29,57,0.509,11,24,0.458,8,13,0.615,4,27,31,10,6,3,6,19,77,65.17,118.14
2021-11-09,Arkansas Pine Bluff,Creighton,-1,200,27,72,0.375,10,35,0.286,13,15,0.867,10,20,30,9,9,3,10,12,77,79.12,97.31
2021-11-09,Creighton,Arkansas Pine Bluff,1,200,38,65,0.585,7,25,0.28,7,12,0.583,9,34,43,22,8,7,18,17,90,79.7,112.92
2021-11-09,Elon,Florida,-1,200,20,52,0.385,5,20,0.25,16,24,0.667,7,22,29,10,9,3,14,22,61,70.4,86.65
2021-11-09,Florida,Elon,1,200,25,59,0.424,8,25,0.32,16,29,0.552,16,21,37,16,7,10,13,18,74,69.78,106.06
2021-11-09,Columbia,Fordham,-1,200,27,56,0.482,8,21,0.381,5,10,0.5,7,21,28,13,2,1,14,19,67,67.75,98.89
2021-11-09,Fordham,Columbia,1,200,26,60,0.433,12,32,0.375,13,19,0.684,9,25,34,11,6,3,8,16,77,68.03,113.19
2021-11-09,Saint Francis,George Washington,-1,200,23,61,0.377,1,9,0.111,25,33,0.758,13,26,39,8,7,2,15,20,72,78.67,91.52
2021-11-09,George Washington,Saint Francis,1,200,24,62,0.387,9,24,0.375,18,26,0.692,9,27,36,14,8,9,15,23,75,80.35,93.34
2021-11-09,Indiana St.,Green Bay,-1,200,29,56,0.518,5,15,0.333,18,22,0.818,7,27,34,10,7,3,16,15,81,75.45,107.36
2021-11-09,Green Bay,Indiana St.,1,200,30,66,0.455,9,27,0.333,8,9,0.889,7,20,27,13,6,4,9,15,77,72.28,106.54
2021-11-09,UNC Wilmington,Illinois St.,-1,200,22,65,0.338,6,19,0.316,13,19,0.684,12,29,41,7,7,5,8,26,63,70.03,89.97
2021-11-09,Illinois St.,UNC Wilmington,1,200,19,56,0.339,8,25,0.32,22,32,0.688,11,32,43,9,2,10,10,16,68,70.2,96.87
2021-11-09,Kennesaw St.,Iowa St.,-1,200,20,46,0.435,7,20,0.35,26,36,0.722,6,20,26,6,11,1,24,26,73,81.1,90.01
2021-11-09,Iowa St.,Kennesaw St.,1,200,27,51,0.529,8,25,0.32,22,33,0.667,6,20,26,16,14,1,22,31,84,82.67,101.6
2021-11-09,Sacred Heart,La Salle,-1,225,32,70,0.457,11,31,0.355,11,16,0.688,10,36,46,18,3,1,16,19,86,83.6,102.87
2021-11-09,La Salle,Sacred Heart,1,225,30,79,0.38,15,40,0.375,6,14,0.429,10,27,37,18,6,3,9,16,81,84.65,95.69
2021-11-09,Louisiana Monroe,LSU,-1,200,13,47,0.277,3,16,0.188,10,17,0.588,6,19,25,7,9,4,21,17,39,70.08,55.65
2021-11-09,LSU,Louisiana Monroe,1,200,38,72,0.528,12,29,0.414,13,19,0.684,17,30,47,23,14,7,11,16,101,75.03,134.62
2021-11-09,Coppin St.,Loyola Chicago,-1,200,13,58,0.224,2,25,0.08,17,23,0.739,5,24,29,4,8,1,12,17,45,75.92,59.27
